,user,date created,number of likes,retweets,source of tweet,tweet,clean_text,topics
25,Nigel_Farage,2022-11-07,4506,854,Twitter for iPhone,Ed Milibands climate reparations shows that people like him on the left have lost their marbles. #COP27,ed milibands climate reparations shows people like left lost marbles ,0_climate_must_change_world
26,COP27P,2022-11-06,4453,1588,Sprout Social,"In case you missed it - Egypt lit up Khafre Pyramid, one of the three ancient pyramids of Giza that date back 4,500 years, ahead of #COP27. #TogetherForImplementation",case missed egypt lit khafre pyramid one three ancient pyramids giza date back years ahead ,1_egypt_climate_crisis_russia
27,AbiyAhmedAli,2022-11-07,4417,1677,Twitter for Android,We met with fellow leaders of African nations on the sidelines of #COP27 to discuss bilateral and regional issues. We will continue to work in solidarity to find African solutions to Africa's problems and strive for a more resilient continent.,met fellow leaders african nations sidelines discuss bilateral regional issues continue work solidarity find african solutions africa 's problems strive resilient continent ,0_climate_must_change_world
28,JamesMelville,2022-11-03,4407,1551,Twitter for iPhone,"As the world leaders prepare to travel to #COP27 to discuss climate change, heres a reminder of how Joe Biden arrived in Glasgow for #COP26",world leaders prepare travel discuss climate change heres reminder joe biden arrived glasgow,-1_climate_minister_world_president
29,EssexPR,2022-11-02,4378,693,Twitter for iPhone,Are we ever going to get a PM that doesnt bow down to media and leftist pressure?How weak   #COP27,ever going get pm doesnt bow media leftist pressure weak,-1_climate_minister_world_president
30,jeremycorbyn,2022-11-07,4300,1357,Twitter Web App,"Humanity is at a tipping point.#COP27 must achieve climate justice, support the poorest for loss and damage, and deliver systemic change on a global scale. We are running out of time. Solidarity with climate activists and human rights defenders who cannot wait any longer.",humanity tipping point must achieve climate justice support poorest loss damage deliver systemic change global scale running time solidarity climate activists human rights defenders wait longer ,0_climate_must_change_world
31,AbiyAhmedAli,2022-11-07,4072,1520,Twitter for Android,Held discussions with leaders of several countries on bilateral and strategic issues alongside #COP27. I also met with leaders of continental and international organizations to discuss issues of mutual interest. (1/2),held discussions leaders several countries bilateral strategic issues alongside also met leaders continental international organizations discuss issues mutual interest ,0_climate_must_change_world
32,LeoHickman,2022-11-07,4057,1774,Twitter for Android,UK prime minister  has just been rushed out of the room by his aides during the middle of the launch for forests partnership at #COP27,uk prime minister rushed room aides middle launch forests partnership,-1_climate_minister_world_president
33,GretaThunberg,2022-10-31,4013,1336,Twitter for iPhone,"We need a loss and damage finance facility. We need climate justice. We need action.Time is running out, which is why decision makers need to step up at #COP27 #GenerateAction ",need loss damage finance facility need climate justice need action time running decision makers need step,0_climate_must_change_world
34,Trudeaus_Ego,2022-11-06,4012,1303,Twitter for Android,"Yesterday, Minister of Affairs Mlanie Joly and I arrived in Egypt for #COP27.So far this year, I've flown over 12 million kilometres to tell the world that Canadians pollute too much.All of the  leaders agree, there is only one solution - higher taxes.",yesterday minister affairs mlanie joly arrived egypt so far year 've flown million kilometres tell world canadians pollute much all leaders agree one solution higher taxes ,1_egypt_climate_crisis_russia
35,JustStop_Oil,2022-11-07,4003,739,Twitter for iPhone," BREAKING: M25 BLOCKED  Supporters of Just Stop Oil have climbed onto overhead gantries on the M25 at multiple locations, halting traffic. They are demanding that the Government halts all new oil and gas consents and licences  anything less is a death sentence.#COP27",breaking m blocked supporters stop oil climbed onto overhead gantries m multiple locations halting traffic demanding government halts new oil gas consents licences anything less death sentence ,0_climate_must_change_world
36,frankiethedino,2022-11-07,3910,1063,Twitter for iPhone,#COP27 is now underway. Come on humans. You can do it! There is lots to do and no time to loose. #DontChooseExtinction,underway come humans lots time loose ,4_cop_today_due_work
37,PrisonPlanet,2022-11-06,3884,772,Twitter for iPhone,COP 27: How many billionaires are gonna land in private jets to lecture us about our consumption habits this year? #COP27,cop many billionaires gon na land private jets lecture us consumption habits year ,5_private_jets_cola_coca
38,LozzaFox,2022-11-07,3876,692,Twitter for Android,"Happy #COP27 week, one and all!",happy week one ,-1_climate_minister_world_president
39,JamesMelville,2022-11-07,3808,1361,Twitter for iPhone,They told us to wear masks and socially distance. Yet they held lavish parties.They told us to save the planet. Yet they travelled by private jet and motorcade. They told us to play by their rules but they played by their own set of rules. They are taking the piss.#COP27,told us wear masks socially distance yet held lavish parties they told us save planet yet travelled private jet motorcade told us play rules played set rules taking piss ,5_private_jets_cola_coca
40,LicypriyaK,2022-11-06,3732,432,Twitter for Android,"United Nations Climate Summit #COP27 kicks off today at Sharm El Sheikh City, Egypt . Finally, Loss and Damage Finance agenda is adopted today at #COP27 which will seek compensation and liabilities from the rich countries (historical polluters).It's time for #ClimateJustice.",united nations climate summit kicks today sharm el sheikh city egypt finally loss damage finance agenda adopted today seek compensation liabilities rich countries historical polluters it 's time ,2_sheikh_sharm_el_summit
41,COP26,2022-11-06,3647,954,Twitter Web App,"#COP27 begins today On climate, the world will succeed or fail as one. We must make these two weeks count.",begins today climate world succeed fail one must make two weeks count ,0_climate_must_change_world
42,TheInsiderPaper,2022-11-07,3645,1571,Twitter Web App,BREAKING: UK Prime Minister Rishi Sunak rushed off conference room by his aides ahead of his speech at #COP27 in mysterious circumstances,breaking uk prime minister rishi sunak rushed conference room aides ahead speech mysterious circumstances,0_climate_must_change_world
43,_david_ho_,2022-11-07,3612,701,Twitter Web App,The outcome of #COP27 would be very different if attendance were limited to only those who will be alive in 2050.,outcome would different attendance limited alive ,-1_climate_minister_world_president
44,antonioguterres,2022-11-06,3516,1420,Twitter for iPhone,"The last 8 years are on track to be the warmest on record.Sea levels are rising at twice the speed of the 1990s.We must answer the planets distress signal with ambitious, credible #ClimateAction.#COP27 must be the place  and now must be the time.",last years track warmest record sea levels rising twice speed s we must answer planets distress signal ambitious credible must place must time ,0_climate_must_change_world
45,Parody_PM,2022-11-07,3457,804,Twitter Web App,"I want to turn the UK into a green energy superpower! Which is why I accepted 141k from donors with fossil fuel connections, said I was too busy to attend #COP27 and stopped the Climate Minister attending Cabinet.",want turn uk green energy superpower accepted k donors fossil fuel connections said busy attend stopped climate minister attending cabinet ,0_climate_must_change_world
46,13sarahmurphy,2022-11-07,3453,707,Twitter for iPhone,Sunak earnestly tells  that its great to have the current prime minister and the last PM at #COP27 because it shows how were leading the world in the debateYeah right! Thatll be it. Rather than a pair of total frauds engaged in an ego-wrestling sideshow.,sunak earnestly tells great current prime minister last pm shows leading world debateyeah right thatll rather pair total frauds engaged ego wrestling sideshow ,0_climate_must_change_world
47,UNICEFROSA,2022-11-06,3440,458,Twitter Web App,"Imagine having to live with this frightening possibility.  Young people, like Yaala from Maldives, are paying the highest price for a crisis not of their making.  #COP27",imagine live frightening possibility young people like yaala maldives paying highest price crisis making ,0_climate_must_change_world
48,CMShehbaz,2022-11-07,3380,736,Twitter for iPhone,"The deliberations by the world leaders will shape the future of our struggle against climate change. What we face today is the challenge of the century. We have a duty to leave a clean and green environment to our coming generations. At #COP27, we should vow to succeed at all costs",deliberations world leaders shape future struggle climate change face today challenge century duty leave clean green environment coming generations vow succeed costs,0_climate_must_change_world
49,LicypriyaK,2022-11-05,3363,235,Twitter for Android,On the way to #COP27 Egypt . #RoadToCOP27,way egypt ,1_egypt_climate_crisis_russia
50,LicypriyaK,2022-11-04,3356,292,Twitter for Android,"Finally, I will leave tomorrow for Egypt  to attend the #COP27 representing India  and voice of the millions of children of the world to urge our world leaders to deliver concrete climate action on loss and damage caused by the climate crisis. It's time for climate justice! ",finally leave tomorrow egypt attend representing india voice millions children world urge world leaders deliver concrete climate action loss damage caused climate crisis 's time climate justice ,-1_climate_minister_world_president
51,NaomiAKlein,2022-11-07,3260,995,Twitter Web App,For the duration #COP27 Ill be doing something different here. This account will be a portal to the Egypt that is currently being covered up by some epic police-state-controlled/Coca-Cola-sponsored/Hill+Knowlton-spun greenwashing.,duration ill something different account portal egypt currently covered epic police state controlled coca cola sponsored hill knowlton spun greenwashing ,1_egypt_climate_crisis_russia
52,CarolineLucas,2022-11-02,3231,724,Twitter Web App,"Glad to see Sunak's screeching U-turn on #COP27, but what an embarrassing mis-step on the world stage. Let this be a lesson to him - climate leadership matters. Now he urgently needs to increase UK ambition on emission reduction targets and pay what we owe to global climate funds",glad see sunak 's screeching u turn embarrassing mis step world stage let lesson climate leadership matters urgently needs increase uk ambition emission reduction targets pay owe global climate funds,0_climate_must_change_world
53,JustStop_Oil,2022-11-07,3179,650,Twitter for iPhone,"We informed the police and the highway authority yesterday that the #M25 would be disrupted  they knew but chose not to warn the public.Sound familiar?Fire, floods, drought  disruption from climate chaos wont end. We must stop new oil and gas now.#COP27 #ClimateChange",informed police highway authority yesterday would disrupted knew chose warn public sound familiar fire floods drought disruption climate chaos wont end must stop new oil gas ,0_climate_must_change_world
54,antonioguterres,2022-11-07,3135,1202,Twitter for iPhone,"The impacts of climate change are here now, and the loss and damage they cause can no longer be ignored.#COP27 must agree on a clear, time-bound roadmap reflective of the scale and urgency of the challenge.It's a moral imperative and a question of solidarity and climate justice",impacts climate change loss damage cause longer ignored must agree clear time bound roadmap reflective scale urgency challenge it 's moral imperative question solidarity climate justice,0_climate_must_change_world
55,DrEliDavid,2022-11-07,3065,1125,Twitter for Android,Climate change should be seen as the greatest challenge to face man and treated as a much bigger priority in the United Kingdom. King Charles III #COP27,climate change seen greatest challenge face man treated much bigger priority united kingdom king charles iii,-1_climate_minister_world_president
56,COP27P,2022-11-06,3028,1049,Twitter for iPhone,"For the first time since the adoption of the UN climate convention, Parties agreed to introduce #LossAndDamage funding as an agenda item at the climate conference. (1/2) #COP27",first time since adoption un climate convention parties agreed introduce funding agenda item climate conference ,0_climate_must_change_world
57,JamesMelville,2022-11-07,2967,1312,Twitter for iPhone,When our private jet and motorcade travelling political leaders hypocritically virtue signal at #COP27 (sponsored by Coca-Cola) they have conveniently forgotten that they contributed to an environmental catastrophe. Over 3 billion Covid masks now pollute the oceans.,private jet motorcade travelling political leaders hypocritically virtue signal sponsored coca cola conveniently forgotten contributed environmental catastrophe billion covid masks pollute oceans ,5_private_jets_cola_coca
58,COP26,2022-11-01,2884,1134,Twitter Media Studio,"That desperate hope is why the world is looking to you and why you are hereA year ago today, Sir David Attenborough addressed world leaders at the #COP26 opening ceremony.With less than one week until #COP27, his powerful words still ring true ",desperate hope world looking herea year ago today sir david attenborough addressed world leaders opening ceremony with less one week powerful words still ring true,0_climate_must_change_world
59,visegrad24,2022-11-06,2866,398,Twitter for iPhone,Polish journalist covering the #COP27 UN Climate Summit in Egypt greets Russians in the hotel restaurant with a patriotic Ukrainian song and a loud Slava Ukraini.,polish journalist covering un climate summit egypt greets russians hotel restaurant patriotic ukrainian song loud slava ukraini ,1_egypt_climate_crisis_russia
60,vonderleyen,2022-11-07,2849,377,Twitter for iPhone,"Good first meeting with Prime Minister  in the margins of #COP27We face many common challenges, from tackling climate change and the energy transition to Russias war against Ukraine. I look forward to a constructive cooperation based on our agreements.",good first meeting prime minister margins face many common challenges tackling climate change energy transition russias war ukraine look forward constructive cooperation based agreements ,0_climate_must_change_world
61,MikeHudema,2022-11-06,2812,994,Buffer,"What we must do immediately:1) End the use of fossil fuels2) Build massive amounts of solar and wind3) Electrify everything4) Conserve5) Find solutions for the last hard stuff (planes, cement)6) Stop cutting down trees.#ActOnClimate #climate #COP27",must immediately end use fossil fuels build massive amounts solar wind electrify everything conserve find solutions last hard stuff planes cement stop cutting trees ,0_climate_must_change_world
62,UrugwiroVillage,2022-11-06,2735,578,Twitter for iPhone,"This evening in Sharm El-Sheikh, President Kagame held talks with President Dr. William Ruto of Kenya ahead of #COP27. The two leaders discussed the continued positive and fruitful bilateral relationship between Kenya and Rwanda.",evening sharm el sheikh president kagame held talks president dr william ruto kenya ahead two leaders discussed continued positive fruitful bilateral relationship kenya rwanda ,-1_climate_minister_world_president
63,ProfMarkMaslin,2022-11-07,2727,1367,Twitter for iPhone,#ClimateChange is about consumption of the very richest  people in our global society.50% of global emissions are emitted by just 10% of the population.90% of global emissions by 50% of the population.#COP27 needs to recognise climate justice and the richmust change NOW,consumption richest people global society global emissions emitted population global emissions population needs recognise climate justice richmust change,-1_climate_minister_world_president
64,ClimateHuman,2022-11-07,2711,778,Twitter Web App,"Some thoughts (and questions) on #COP27. First, if no plan for quickly ramping down the fossil fuel industry comes out of the meeting, it's a failure. That's the bottom line. Fossil fuels are the cause. Ramping down that industry MUST be the very core of any solutions package.",thoughts questions first plan quickly ramping fossil fuel industry comes meeting 's failure 's bottom line fossil fuels cause ramping industry must core solutions package ,0_climate_must_change_world
65,MikeHudema,2022-11-03,2505,1069,Buffer,These 4 countries are almost entirely powered by #renewableenergy:1. Iceland  2. Paraguay  3. Norway  4. Costa Rica We have the solutions. #ActOnClimate#ClimateEmergency #climate #tech #renewables #renewableenergy #GreenNewDeal #cop27egypt #cop27, countries almost entirely powered iceland paraguay norway costa rica solutions ,-1_climate_minister_world_president
66,CarolineLucas,2022-11-02,2486,624,Twitter for iPhone,"Cannot believe that  has not been allowed to answer COP26 Questions today, days before #COP27 in Egypt. Just another sign that this climate-wrecking PM does not get it",believe allowed answer cop questions today days egypt another sign climate wrecking pm get,1_egypt_climate_crisis_russia
67,antonioguterres,2022-11-05,2450,978,Twitter Web App,"Droughts, heatwaves and floods have a devastating impact on food production.The unfolding global food crisis cannot be stopped until nations manage the climate crisis.At #COP27, leaders must commit to find climate solutions that can help stop and prevent hunger.",droughts heatwaves floods devastating impact food production the unfolding global food crisis stopped nations manage climate crisis at leaders must commit find climate solutions help stop prevent hunger ,0_climate_must_change_world
68,NatureDeal,2022-11-07,2395,136,Twitter Web App,"We urgently need a shared global goal for nature, just like the 1.5C goal we already have for climate. Halting biodiversity loss is not enough, say  and  we must be #NaturePositive by 2030.#COP27 #COP15",urgently need shared global goal nature like c goal already climate halting biodiversity loss enough say must ,0_climate_must_change_world
69,ScotGovFM,2022-11-06,2296,467,Hootsuite Inc.,"First Minister  met  Prime Minister of Barbados, ahead of #COP27 in Egypt.Scotland is committed to engaging with Barbados and to find new areas of collaboration, particularly on energy, addressing #LossAndDamage, and achieving #ClimateJustice.",first minister met prime minister barbados ahead egypt scotland committed engaging barbados find new areas collaboration particularly energy addressing achieving ,-1_climate_minister_world_president
70,simonstiell,2022-11-05,2295,546,Twitter Web App,"Tomorrow, during the opening of #COP27, I will send a clear signal to world leaders:The urgency of the #ClimateCrisis demands that we do things differently.Let us use COP27 to find common ground, so that we can reflect this urgency in our actions.",tomorrow opening send clear signal world leaders urgency demands things differently let us use cop find common ground reflect urgency actions ,4_cop_today_due_work
71,RSPBEngland,2022-10-31,2283,702,Twitter Web App,The RSPB calls on  to attend #COP27 in Egypt. Nature and climate emergencies are deeply intertwined. We need the PM to build on the legacy of Glasgow COP26 and show global leadership. He needs to be a positive advocate for the role of nature in solving this global crisis.,rspb calls attend egypt nature climate emergencies deeply intertwined need pm build legacy glasgow cop show global leadership needs positive advocate role nature solving global crisis ,1_egypt_climate_crisis_russia
72,JamesMelville,2022-11-07,2282,749,Twitter for iPhone,They are treating us like suckers. #COP27,treating us like suckers ,-1_climate_minister_world_president
73,MartinDaubney,2022-11-07,2249,793,Twitter Web App,"Sunak's multi-billion #COP27 giveaway will stick in the throats of Red Wall voters still waiting for ""levelling up"" money promised in 2019How can Sunak find billions for ""clean energy"" in the Third World, when working class voters can't even afford to switch on the heating?",sunak 's multi billion giveaway stick throats red wall voters still waiting levelling '' money promised how sunak find billions clean energy '' third world working class voters ca n't even afford switch heating ,0_climate_must_change_world
74,Natures_Voice,2022-10-31,2220,609,Twitter Web App,The RSPB calls on  to attend #COP27 in Egypt. Nature and climate emergencies are deeply intertwined. We need the PM to build on the legacy of Glasgow COP26 and show global leadership. He needs to be a positive advocate for the role of nature in solving this global crisis.,rspb calls attend egypt nature climate emergencies deeply intertwined need pm build legacy glasgow cop show global leadership needs positive advocate role nature solving global crisis ,1_egypt_climate_crisis_russia
75,lizwathuti,2022-11-07,2218,618,Twitter for iPhone,"Last year, I asked world leaders to open their hearts before entering COP26 negotiations.Many have yet to take the climate crisis seriously.At #COP27 , leaders must show that they care about people and open their eyes to the realities of climate inaction!",last year asked world leaders open hearts entering cop negotiations many yet take climate crisis seriously at leaders must show care people open eyes realities climate inaction ,0_climate_must_change_world
76,MikeHudema,2022-11-02,2203,1025,Buffer,"Droughts in Europe made the ""Hunger Stones"" visible this year. These stones were used to mark desperately low river levels that would forecast famines. This one, in Elbe river, is from 1616 and says: ""If you see me, cry""There is no time to wait. #ActOnClimate #climate #COP27",droughts europe made hunger stones '' visible year stones used mark desperately low river levels would forecast famines one elbe river says see cry '' time wait ,0_climate_must_change_world
77,farhanaclimate,2022-11-05,2191,203,Twitter for iPhone,Heading to #COP27 along with half the plane! Ive been to all of them since COP1 but missed Bali and India COPs due to maternity leave. My kids have grown as have #GHG emissions due to #FossilFuels. Will be working on #climatejustice #JustTransition #LossAndDamage,heading along half plane ive since cop missed bali india cops due maternity leave kids grown emissions due working,4_cop_today_due_work
78,CMShehbaz,2022-11-06,2187,459,Twitter for iPhone,#COP27 being held in Egypt can be a watershed in humanity's fight against climate change and global warming. Extreme climatic events in Pakistan and Horn of Africa this year have showcased globalisation of climate change. Turning a blind eye to its lethal effects will be criminal.1/3,held egypt watershed humanity 's fight climate change global warming extreme climatic events pakistan horn africa year showcased globalisation climate change turning blind eye lethal effects criminal ,1_egypt_climate_crisis_russia
79,COP27P,2022-11-06,2184,455,Twitter Web App,Elected #COP27 President HE Sameh Shoukry addresses climate envoys and delegates at the opening plenary.,elected president sameh shoukry addresses climate envoys delegates opening plenary ,-1_climate_minister_world_president
80,COP27P,2022-11-07,2174,964,Twitter Web App,"""The science is clear, any hope of limiting temperature rise to 1.5 degrees means achieving global net zero emissions by 2050. But that 1.5 degree goal is on life support and the machines are rattling"" -  Secretary General of  at #SCIS. #COP27", science clear hope limiting temperature rise degrees means achieving global net zero emissions degree goal life support machines rattling '' secretary general ,0_climate_must_change_world
81,antonioguterres,2022-11-04,2109,857,Twitter Media Studio,"Climate disasters are already hurting countries, communities and economies.Next week, #COP27 will start in Egypt and present a crucial opportunity for leaders to make meaningful progress on climate promises.#ClimateAction must become the global priority we need it to be.",climate disasters already hurting countries communities economies next week start egypt present crucial opportunity leaders make meaningful progress climate promises must become global priority need ,1_egypt_climate_crisis_russia
82,SiobhanBenita,2022-11-07,2090,514,Twitter for iPhone,Sunak lecturing other leaders  at #COP27 about the need to do more when he couldnt even be arsed to attend until Boris Johnson threatened to upstage him is peak Tory Britain - and the whole world can see it for what it is.,sunak lecturing leaders need couldnt even arsed attend boris johnson threatened upstage peak tory britain whole world see ,0_climate_must_change_world
83,statsjamie,2022-11-05,2088,596,Twitter for Android," | Climate change will ravage our planet without urgent action  Sunak When Sunak gives up his heated swimming pool, downgrades to two homes (give him spare), and practice what he preach I will ignore.We are not in it together until then.#COP27", climate change ravage planet without urgent action sunak sunak gives heated swimming pool downgrades two homes give spare practice preach ignore we together ,0_climate_must_change_world
84,UNOPS,2022-11-02,2076,178,Twitter Web App,"At #COP27, we're joining  family, global leaders, dev' partners and more to advance #ClimateAction!Get the details on all the events we're hosting with partners that will explore key climate issues  incl. partnerships, youth and climate justice!", 're joining family global leaders dev ' partners advance get details events 're hosting partners explore key climate issues incl partnerships youth climate justice ,0_climate_must_change_world
85,bolddigger52,2022-11-02,2058,414,Twitter for Android,I believe that #COP27 is a complete waste of time and money.Agree?Yes          Yes          Yes                        ,believe complete waste time money agree yes yes yes,0_climate_must_change_world
86,bmay,2022-11-02,1987,293,Twitter Web App,"Now let the King go too. There's an actual opportunity here to present the better side of UK influence, for once. Go and lead.#COP27",let king go 's actual opportunity present better side uk influence go lead ,-1_climate_minister_world_president
87,CMShehbaz,2022-11-07,1975,537,Twitter for iPhone,Always a pleasure to meet my friend H.E.  Today we reviewed the task of rehabilitation. I thanked SG for creating UN inter-agency team to prepare a comprehensive reconstruction plan. His empathetic leadership is key to addressing climate change.#COP27  ,always pleasure meet friend h e today reviewed task rehabilitation thanked sg creating un inter agency team prepare comprehensive reconstruction plan empathetic leadership key addressing climate change ,4_cop_today_due_work
88,G_LaryeaAdjei,2022-11-06,1951,151,Twitter Web App,"Catastrophic climate disasters continue to upend the lives of millions of children in South Asia, leaving them desperately in need of support to survive.   As world leaders unite at #COP27, UNICEF calls on them to ensure children are at the centre of climate decisions.",catastrophic climate disasters continue upend lives millions children south asia leaving desperately need support survive world leaders unite unicef calls ensure children centre climate decisions ,0_climate_must_change_world
89,nj_ayuk,2022-11-05,1940,942,Twitter for Android,"Oil and natural gas will be playing an ongoing role in Africas energy mix for years to come. Renewables are expensive, unreliable and cant do the heavy lifting for now. We need to drill for Gas and Make Energy Poverty History while fighting Climate Change. #cop27egypt #COP27",oil natural gas playing ongoing role africas energy mix years come renewables expensive unreliable cant heavy lifting need drill gas make energy poverty history fighting climate change ,0_climate_must_change_world
90,UNFCCC,2022-11-06,1901,862,Twitter Media Studio,Live from Egypt: #COP27 Opening Ceremony,live egypt opening ceremony,1_egypt_climate_crisis_russia
91,MrJohnNicolson,2022-11-07,1890,410,Twitter for iPad,If there is a human being alive who is the very antithesis of the spirit of Glasgow its Boris Johnson. #COP27,human alive antithesis spirit glasgow boris johnson ,0_climate_must_change_world
