User,Date Created,Number of Likes,Retweets,Source of Tweet,Tweet
CMShehbaz,2022-11-06,2187,459,Twitter for iPhone,#COP27 being held in Egypt can be a watershed in humanity's fight against climate change &amp; global warming. Extreme climatic events in Pakistan &amp; Horn of Africa this year have showcased globalisation of climate change. Turning a blind eye to its lethal effects will be criminal.1/3
COP27P,2022-11-06,2184,455,Twitter Web App,Elected #COP27 President HE Sameh Shoukry addresses climate envoys and delegates at the opening plenary.
COP27P,2022-11-07,2174,964,Twitter Web App,"""The science is clear, any hope of limiting temperature rise to 1.5 degrees means achieving global net zero emissions by 2050. But that 1.5 degree goal is on life support and the machines are rattling"" -  Secretary General of  at #SCIS. #COP27"
antonioguterres,2022-11-04,2109,857,Twitter Media Studio,"Climate disasters are already hurting countries, communities &amp; economies.Next week, #COP27 will start in Egypt and present a crucial opportunity for leaders to make meaningful progress on climate promises.#ClimateAction must become the global priority we need it to be."
SiobhanBenita,2022-11-07,2090,514,Twitter for iPhone,Sunak lecturing other leaders  at #COP27 about the need to do more when he couldn’t even be arsed to attend until Boris Johnson threatened to upstage him is peak Tory Britain - and the whole world can see it for what it is.
statsjamie,2022-11-05,2088,596,Twitter for Android,"🚨 | Climate change will ravage our planet without urgent action — Sunak💥 When Sunak gives up his heated swimming pool, downgrades to two homes (give him spare), and practice what he preach I will ignore.We are not in it together until then.#COP27"
UNOPS,2022-11-02,2076,178,Twitter Web App,"At #COP27, we're joining  family, global leaders, dev' partners &amp; more to advance #ClimateAction!Get the details on all the events we're hosting with partners that will explore key climate issues – incl. partnerships, youth &amp; climate justice!"
bolddigger52,2022-11-02,2058,414,Twitter for Android,I believe that #COP27 is a complete waste of time &amp; money.Agree?Yes          Yes          Yes👇            👇            👇
bmay,2022-11-02,1987,293,Twitter Web App,"Now let the King go too. There's an actual opportunity here to present the better side of UK influence, for once. Go and lead.#COP27"
CMShehbaz,2022-11-07,1975,537,Twitter for iPhone,Always a pleasure to meet my friend H.E.  Today we reviewed the task of rehabilitation. I thanked SG for creating UN inter-agency team to prepare a comprehensive reconstruction plan. His empathetic leadership is key to addressing climate change.#COP27  🇵🇰
G_LaryeaAdjei,2022-11-06,1951,151,Twitter Web App,"Catastrophic climate disasters continue to upend the lives of millions of children in South Asia, leaving them desperately in need of support to survive.   As world leaders unite at #COP27, UNICEF calls on them to ensure children are at the centre of climate decisions."
nj_ayuk,2022-11-05,1940,942,Twitter for Android,"Oil and natural gas will be playing an ongoing role in Africa’s energy mix for years to come. Renewables are expensive, unreliable and can’t do the heavy lifting for now. We need to drill for Gas and Make Energy Poverty History while fighting Climate Change. #cop27egypt #COP27"
UNFCCC,2022-11-06,1901,862,Twitter Media Studio,Live from Egypt: #COP27 Opening Ceremony
MrJohnNicolson,2022-11-07,1890,410,Twitter for iPad,If there is a human being alive who is the very antithesis of ‘the spirit of Glasgow’ it’s Boris Johnson. #COP27
JamesMelville,2022-11-07,1885,710,Twitter for iPhone,An inconvenient truth.#COP27
antonioguterres,2022-11-04,1881,675,Twitter Web App,#COP27 must put us back on track to:Cut emissionsBoost climate resilience &amp; adaptationKeep the promise on climate financeAddress loss &amp; damage resulting from the climate crisis.
davemacladd,2022-11-07,1880,280,Twitter Web App,Boris Johnson showing up at #COP27 is like when David Brent kept turning up at work after being sacked
LicypriyaK,2022-11-03,1827,165,Twitter for iPhone,"I have to leave yesterday for #COP27 Egypt 🇪🇬 but due to short of funds, I’m getting delayed. I’m going to travel all the way for thousands of kilometres from India by selling tea is to tell our world leaders to provide urgent climate finance now to save our planet&amp; our future."
statsjamie,2022-11-02,1774,832,Twitter for Android,🚨 | The world's richest 10% percent are responsible for an estimated 47% share of global CO2 emissionsIf we want to reduce emissions maybe a lockdown for the likes of Bill Gates and Co will be a good startDo a lot more than #COP27 virtue signalling
COP27P,2022-11-07,1773,539,Sprout Social,"#Egypt welcomes World Leaders, climate envoys, delegates and civil society from around the world to this years Sharm El Sheikh Climate Implementation Summit, where action meets ambition. #TogetherForImplementation #COP27"
antonioguterres,2022-11-04,1768,670,Twitter Media Studio,"#COP27 must be the place to rebuild trust and re-establish the ambition needed to avoid driving our planet over the climate cliff.We need much faster, bolder #ClimateAction now."
AnonOpsSE,2022-10-31,1759,281,TweetDeck,Lula becomes President in Brazil - after beating Fascist and far right Bolsonaro. It’s a triumph of hope compassion and ambition for a better future for all Brazilians Ahead of #COP27 this is great news for our global #climate and our shared world#Amazon #Pantanal #ClimateCrisis
COP27P,2022-11-06,1751,731,Twitter for iPhone,The opening plenary of #COP27 has commenced with the election of HE Sameh Shoukry as COP27 President by the Parties.#TogetherForImplementation
shaabanbelal,2022-11-07,1742,161,Twitter for Android,Welcome to Egypt 🇪🇬 President  #Rwanda President I love Rwanda 🇷🇼 ❤️ #COP27#cop27egypt
omniaelomrani1,2022-11-06,1742,283,Twitter for iPhone,Egypt lighting up for #COP27 💚
MigunaMiguna,2022-11-03,1739,172,Twitter for iPhone,"Met ⁦ the leading Kenyan environmentalist, founder of ⁦ who has been championing for climate action globally and here in Kenya🇰🇪through tree growing. She addressed world leaders at COP26 and will address #COP27 in Sharm El Sheikh, Egypt. Viva!"
SangitaMyska,2022-11-02,1726,275,Twitter for iPhone,Now Rishi Sunak is attending #COP27 will the Govt lift that ridiculous ban on King Charles attending too?
JustStop_Oil,2022-11-07,1723,386,Twitter for iPhone,"🦺 Indigo Rumblelow, 28, a spokesperson for Just Stop Oil from London said:“What did you expect? This Government is complicit in an illegal &amp; unconstitutional plan to issue more licences and consents for new oil &amp; gas — a plan that will take the world over 1.5°C…#COP27 #M25"
UNClimateSummit,2022-11-01,1715,249,Twitter Web App,2022 has been rife with #climate disasters impacting youth from across. Join      in conversation as they share their first hand encounters with #LossAndDamage #COP27 ⤵️
UNFCCC,2022-11-07,1692,743,Twitter Web App,"""Humanity has a choice: cooperate or perish.“Speaking at the World Leaders Summit at #COP27, UN Secretary-General  called for a historic pact between developed and emerging economies"" to avoid runaway #ClimateChange."
vonderleyen,2022-11-07,1648,408,Twitter for iPhone,"We face many challenges, but climate change is the biggest.This #COP27 will be a implementation summit to keep track of promises.We need to do everything we can to keep 1.5 degrees in reach Europe stays the course."
CarolineLucas,2022-11-07,1583,523,Twitter Web App,"This is hardly a ""major new package"" from Rishi Sunak at #COP27 - it's rehashing the £11.6bn already committed in Glasgow. Where's the #LossAndDamage finance? What about the $300M missing that we owe to adaptation funds? Creative accounting won't solve the #climateemergency"
simonstiell,2022-11-06,1581,558,Twitter Web App,"As  we will be holding people to account – be they Presidents, Prime Ministers or CEOs.Our policies, our businesses, our infrastructure, our actions, must all align with the #ParisAgreement.My signal of change today at the opening of #COP27."
CarolineLucas,2022-11-04,1543,650,Twitter for iPhone,"“We still have a chance but we’re  rapidly losing it. I’d say 1.5C is in intensive care.  So either we act immediately &amp; in a very strong way, or it’s lost &amp; probably lost for ever.” Spot on from  on huge amount at stake at #COP27"
ProfMarkMaslin,2022-11-05,1540,829,Twitter for iPhone,"#COP27 must deliver massive emissions reductions, money for loss &amp; damage with social justiceAs #ClimateChange negotiations have failed over the last 30 years. 🤦‍♂️Carbon dioxide levels still going up ⬆️ causing rising global temperatures 🌡1.2°C and rising ➡️ 🌪💨⛈🌀🌊🔥🥵"
MikeHudema,2022-11-03,1536,484,Buffer,#Denmark's gov't has one of the world's most ambitious green plans. 70% reduction target by 2030 enshrined into law.We need all industrialzed nations to raise to this level of ambition. Who's next?#ActOnClimate #climateemergency #climate #GreenNewDeal #cop27egypt #cop27
ClimateHuman,2022-11-07,1534,231,Twitter Web App,I haven't flown in a plane since 2012 as I see so clearly how every flight makes the Earth irreversibly hotter and everything that means. No way I'd fly to a corporate greenwash-fest like #COP27. COP must prove it's serious about ending the fossil fuel industry. That's on them.
KayBurley,2022-11-07,1529,327,Wildmoka,Why exactly is  at #Cop27 ?Scotland's First Minister defends her decision to go despite receiving criticism from back home. #KayBurley FC
Isaac_Herzog,2022-11-07,1524,213,Twitter for iPhone,Delighted to meet my friend UAE President HH Sheikh  at #COP27 today. We discussed Israeli-Emirati cooperation on climate issues and regional developments in the Middle East. 🇮🇱🤝🇦🇪
sail_soil,2022-11-06,1505,589,Twitter Web App,"Postponed by a few days, the race #RDR22 will set off during #COP27 Donald's ambition is raise awareness about the fragility of #soil worldwide. What if one of the keys to improving climate and environment was just beneath our feet? #SaveSoil"
bolddigger52,2022-11-07,1496,296,Twitter Web App,Rishi Sunak is wrong to attend #COP27.Agree?Yes          Yes          Yes👇            👇            👇
UrugwiroVillage,2022-11-07,1495,424,Twitter for iPhone,"Today at #COP27, President Kagame launched Ireme Invest - Rwanda’s green investment facility, which raised $104 million in its first capitalization. The facility will invest in private sector led green growth in Rwanda by availing sustainable finance.#GreenRwanda🇷🇼🌿"
SunguraMj_REFi,2022-11-05,1483,5427,Twitter for Android,🌳PREMINT PROMO🌳🌳B.O.G.O.F🌳 🌳First 500 GET 1FREE NFT AIRDROP during public mint🌳🌳Price - 0.09 ETH🌳🌳Mint: 🌳100 Trees planted per NFT🌳🌳1million Tree planting initiative🌳#NFT #NFTCommmunity #NFTGiveaways #Climatechange #ReFi #COP27
EssexPR,2022-11-07,1470,438,Twitter for iPhone,"Multiple homes, multiple cars, private jets, helicopters etcThe hypocrisy of most of these that are preaching at us, is astounding.The #COP27 event is just for soundbites,virtue signalling &amp; political dodgy dealings masked up as climate support.The average Brit is sick of it."
LicypriyaK,2022-11-05,1404,207,Twitter for Android,They asked 11 years old girl about carbon emissions when I fly to attend the #COP27. Did they ever ask the same to Modi ji when he travel to attend COPs?This is not a free trip. This is the result of hard work &amp; sweats of last 5 years.🙏Atleast I offset my carbon footprints.
BBhuttoZardari,2022-11-07,1403,1927,Twitter for iPhone,"Always a pleasure joining  on  This time from #COP27 in Egypt. We discussed climate, loss &amp; damage, flooding in Pakistan, effects of the Russia-Ukrainian crisis &amp; the attack on former PM.  Thread below ⬇️ 🧵"
Derricktgoat,2022-11-06,1362,642,Twitter Web App,"Over 40,000 registered for Egypt Climate talks. Over 400 private jets, thousands of vehicles and the message today. Hold your citizens accountable for climate change and make them do better.Unbelievable, SO OUT OF TOUCH with the fact people have to choose HEAT or EAT.  #COP27"
AngelaRayner,2022-11-05,1319,266,Twitter for iPhone,"Rishi Sunak’s #COP27 dithering nearly left us empty chaired on the world stage. He just doesn’t get it.Real leadership would safeguard Britain’s industrial future. Energy security, new jobs, valuable exports &amp; cutting bills for good.✍🏻"
COP27P,2022-11-06,1315,356,Sprout Social,Egyptian Foreign Minister Sameh Shoukry officially receives the COP presidency from the former President #COP27 #TogetherForImplementation
avaadagroup,2022-11-04,1315,196,Twitter for Advertisers,#India is on its way to becoming a global #powerhouse in the #greenenergy value chain and it is ready to demonstrate its capabilities to the world at #cop27. Join Mr.  – Chairman of   at #cop27egyptRegister -  #COP27
vanessa_vash,2022-11-03,1309,512,Twitter for iPhone,"My message to UK PM  in  today: End finance for all new fossil fuels, massively scale investments in renewables and call for a #LossAndDamage fund that will help communities cope with the devastating impacts of the climate crisis.  #COP27"
Greenpeaceafric,2022-11-07,1303,574,Emplifi,"This. 👊 ""We are in the country that built pyramids."" Barbados PM Mia Mottley slams inaction on the climate crisis at #COP27."
MimiJ9,2022-11-07,1296,212,Twitter for iPad,So what was so important that Rishi Sunak fucked off early from a #COP27 meeting?
JamesMelville,2022-11-07,1295,605,Twitter for iPhone,The world’s biggest carbon polluters by country. 1855 - 2020 (annually in metric tons).#COP27
UNClimateSummit,2022-11-06,1282,205,Twitter for Advertisers,"World leaders gather in #SharmElSheikh, as #COP27 kicks off today. The world is watching and calling for this COP to be an #ImplementationCOP, that acts on #COP26 commitments. Developing nations are demanding that previous commitments to finance are upheld. Read More ⤵️"
MimiJ9,2022-11-02,1278,502,Twitter for iPad,Why is Boris Johnson going to #COP27 when he isn’t a minister in charge of that brief. He’s already been on holiday and speaking engagements?He is a backbench MP and therefore should be working on contingency matters? why is the Whip not being withdrawn?
